Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,170311/0000,16.83,16.34,114.02,9.93
42647,170312/0000,19.44,19.18,63,7.67
42647,170313/0000,20.48,22.82,57.01,2.06
42647,170314/0000,13.48,15.76,85.99,6.86
42647,170315/0000,7.83,8.98,77,12.98
42647,170316/0000,3.85,4.52,45.98,17.17
42647,170317/0000,3.97,4.01,146.01,24.45
42647,170318/0000,3.5,5.89,156.19,29.39
42647,170319/0000,4.15,1.07,171.78,27.84
42647,170320/0000,4.43,2.37,103.6,21.24
42647,170321/0000,5.14,4.55,112.38,22.26
42647,170322/0000,4.31,4.44,68.59,23.96
42647,170323/0000,2.82,1.89,120.39,27.81
42647,170324/0000,4.88,2.98,112.21,22.94
42647,170327/0000,2.47,2.46,109.19,27.08
42647,170329/0000,4.51,2.87,102,23.91
42647,170330/0000,4.71,7.64,102,22.65
42647,170331/0000,6.57,3.08,53.01,24.16
42647,170201/0000,15.23,10.34,67.99,11.99
42647,170202/0000,12.32,9.23,50.02,12.64
42647,170203/0000,6.35,7.79,93.81,19.44
42647,170204/0000,3.55,9.27,250.29,19.22
42647,170205/0000,12.24,12.92,198.75,18.4
42647,170206/0000,16.75,17.62,71.99,7.79
42647,170207/0000,17.13,14.18,49.01,9.79
42647,170208/0000,13.25,11.27,181.5,11.31
42647,170209/0000,11.93,14.69,96,11.29
42647,170210/0000,8.34,12.49,58.99,10.04
42647,170211/0000,3.59,7.69,77.19,17.13
42647,170212/0000,10.13,11.14,90.19,15.66
42647,170213/0000,4.51,7.01,131.78,19.84
42647,170214/0000,1.17,4.63,134.99,27.98
42647,170215/0000,0.26,0.83,155.19,30
42647,170216/0000,2.75,0.5,110.61,28.38
42647,170217/0000,8.5,2.79,17,23.16
42647,170219/0000,7.67,3.06,16.01,19.92
42647,170220/0000,4.93,4.3,248.98,22.34
42647,170221/0000,12.97,9.08,102.99,18.24
42647,170222/0000,14.63,7.31,104.97,22.79
42647,170223/0000,12.87,8.96,69,18.58
42647,170224/0000,12.14,11.05,32.98,11.54
42647,170225/0000,12.7,10.52,48,12.6
42647,170226/0000,7.25,7.39,50.99,15.87
42647,170227/0000,5.16,3.63,51.2,17.2
42647,170228/0000,2.75,3.7,87.6,21.76
42647,170101/0000,9.68,4.31,56,16.25
42647,170102/0000,11.84,7.26,84.01,17.17
42647,170103/0000,9.56,8.32,47.98,20.28
42647,170104/0000,10.62,8.48,56.99,17.19
42647,170105/0000,11.56,10.45,93.4,17.12
42647,170106/0000,9.42,7.47,144.18,19.05
42647,170107/0000,3.28,3.52,220.39,28.13
42647,170108/0000,3.96,3.79,188.01,19.89
42647,170109/0000,22.5,11.42,70.98,12.22
42647,170111/0000,20.69,16.01,70.98,11.42
42647,170112/0000,19.32,15.63,76.98,10.12
42647,170113/0000,14.31,14.29,87,11.79
42647,170114/0000,26.76,28.61,42.53,138.28
42647,170116/0000,5.4,5.08,94.39,18.81
42647,170117/0000,10.05,10.16,70.01,13.77
42647,170118/0000,10.53,7.24,47.01,17.43
42647,170119/0000,7.26,5.54,36.99,18.71
42647,170120/0000,2.69,12,152.99,28.79
42647,170121/0000,3.83,8.27,123.18,23.46
42647,170122/0000,4.75,4.18,133.6,26.98
42647,170123/0000,1.35,1.41,147.79,26.14
42647,170124/0000,0.88,1.37,156.19,25.68
42647,170125/0000,0.79,-2.39,142.22,30.47
42647,170126/0000,-1.69,-2.89,257.61,30.16
42647,170127/0000,10.64,8.61,103,13.68
42647,170128/0000,15.68,11.06,43.98,14.37
42647,170129/0000,13.09,9.6,43.01,14.88
42647,170130/0000,12.52,8.79,36.99,12.08
42647,170131/0000,13.74,10.89,65.99,11.07
42647,161201/0000,9.09,7.05,57.01,20.13
42647,161201/1200,7.15,4.85,65.59,18.18
42647,161202/0000,10.59,6.53,38,19.82
42647,161202/1200,8.48,5.1,100.21,21.21
42647,161203/0000,8.65,9.17,58.8,18.1
42647,161203/1200,12.68,6.01,44,14.63
42647,161204/0000,13.39,8.43,33,17.79
42647,161204/1200,14.14,5.77,32.98,11.94
42647,161205/0000,14.06,9.84,22.98,12.02
42647,161205/1200,13.03,4.63,23.99,13.81
42647,161206/0000,12.85,9.78,24.98,13.6
42647,161206/1200,7.25,6.88,35,15.48
42647,161207/0000,9.79,10.71,28.81,15.12
42647,161207/1200,10.54,7.66,36.01,14.69
42647,161208/0000,13.38,11.65,24.01,12.92
42647,161208/1200,13.78,7.78,18.98,14.06
42647,161209/0000,13.25,8.67,21,13.63
42647,161209/1200,12.08,6.84,43.98,16.61
42647,161210/0000,17.47,11.74,32.98,13.79
42647,161210/1200,11.9,9.21,58,16.1
42647,161211/0000,9.24,7.87,100.99,20.51
42647,161211/1200,8.74,4.29,90.78,22.12
42647,161212/0000,10.75,10.31,95.79,16.44
42647,161212/1200,9.64,7.84,121.01,17.76
42647,161213/0000,15.47,10.94,54,16.16
42647,161213/1200,8.53,3.69,134.21,23.15
42647,161214/0000,12.47,10.54,70.8,16.98
42647,161214/1200,9.63,8.27,105.19,17.12
42647,161215/0000,16.36,11.69,20.98,15.66
42647,161215/1200,12.48,10.64,49.38,14.4
42647,161216/0000,13.88,12.3,43.01,17.76
42647,161216/1200,11.06,9.39,90.42,18.93
42647,161217/0000,9.91,11.38,131.62,19.21
42647,161217/1200,9.36,8.66,131.62,20.2
42647,161218/0000,11.66,10.51,93.59,17.98
42647,161218/1200,12.85,9.89,67.8,15.83
42647,161219/0000,16.11,11.46,27,15.86
42647,161219/1200,16.92,11.02,30.98,15.42
42647,161220/0000,15.48,11.81,25,15.52
42647,161220/1200,14.92,8.99,36.99,12.2
42647,161221/0000,15.49,12.45,32.98,11.39
42647,161221/1200,12.92,10.71,33.97,13.99
42647,161222/0000,15.5,10.31,50,12.97
42647,161222/1200,13.46,9.04,42.99,14.1
42647,161223/0000,14.89,12.6,35.98,15.21
42647,161223/1200,13.82,6.2,50.99,16
42647,161224/0000,13.98,12.35,52,15.94
42647,161224/1200,11.13,4.49,50.99,21.64
42647,161225/0000,13.92,8.12,62,13.45
42647,161225/1200,13.76,13.19,48.99,8.98
42647,161226/0000,16.58,18.94,65.99,9.63
42647,161226/1200,18.59,13.88,67.99,11.64
42647,161227/0000,16.41,12.48,45.01,14.9
42647,161227/0900,10.84,10.69,41.01,16.5
42647,161228/0000,10.06,10.49,24.98,15.61
42647,161228/1200,9.61,9.07,30.98,14.19
42647,161229/0000,9.39,10.02,23.99,13.13
42647,161229/1200,8.15,4.84,30.98,13.72
42647,161230/0000,7.92,7.49,29.99,15.23
42647,161230/0900,8.44,3.88,40.99,16.9
42647,161231/0000,9.1,5.08,48.99,17.27
42647,161231/1200,9.2,2.94,65.02,18.27
42647,161125/1200,13.52,7.27,51.01,14.6
42647,161126/0000,12.89,8.25,38,16.5
42647,161126/1200,11.01,4.35,43.98,19.22
42647,161127/0000,9.39,6.39,28.01,18.86
42647,161127/1200,12.06,4.94,45.98,17.63
42647,161128/0000,13.02,6.79,30.98,16.88
42647,161128/1200,12.71,4.8,33.99,16.02
42647,161129/0000,13.77,6.83,42,14.1
42647,161129/1200,12.65,4.61,43.98,16.06
42647,161130/0000,9.71,7.71,41.01,21.43
42647,161130/1200,12.89,3.98,46.99,17.51
42647,161001/0000,-2.07,-1.8,220.6,61.12
42647,161001/1200,-2.94,-4.29,262.18,72.55
42647,161002/0000,-3.35,-1.09,269.61,67.43
42647,161002/1200,-1.47,-5.32,235,61.45
42647,161003/0000,-3.93,-4.74,273.79,73.54
42647,161003/1200,-1.35,-5.24,248.98,69.19
42647,161004/0000,-3.25,-3.49,244.79,70.7
42647,161004/1200,-0.45,-3.12,242.41,67.42
42647,161005/0000,-2.96,-4.1,247.78,73.6
42647,161005/1200,-0.49,-1.98,251.38,70.29
42647,161006/1200,-1.32,-4.6,230.41,70.46
42647,161007/0000,-2.96,-4.33,242.18,67.24
42647,161007/1200,1.34,-4.31,234.81,57.42
42647,161008/0000,3.18,-3.7,198.8,44.06
42647,161008/1200,2.03,-5.62,219.19,46.34
42647,161009/0000,1.08,-4.4,195.38,47.98
42647,161009/1200,1.65,-7.18,205.58,46.54
42647,161010/0000,1.72,-3.46,186.99,42.61
42647,161010/0900,0.77,-4.66,195.41,42.59
42647,161011/0000,8.95,-4.61,36.99,29.44
