Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,080321/0000,4.59,5.35,68.19,16.88
42647,080322/0000,-6.17,-8.55,344.45,15.31
42647,080323/0000,-4.29,-10.27,261.99,15.37
42647,080324/0000,-5.22,-4.17,,39.52
42647,080325/0000,-3.27,-8.46,,37.1
42647,080326/0000,-9.35,-5.44,497.2,35.72
42647,080328/0000,52.79,4.06,31.97,22.65
42647,080329/0000,,2.05,,20.22
42647,080330/0000,-0.2,2.4,168.79,32.79
42647,080331/0000,-4.32,-3.33,305.41,30.31
42647,080201/0000,18.98,24.67,,11.1
42647,080203/0000,22.48,17.39,,14.46
42647,080204/0000,,22.27,,5.64
42647,080205/0000,,21.23,,5.76
42647,080206/0000,24.4,20.45,,25.65
42647,080207/0000,19.44,30.82,,8.77
42647,080208/0000,30.5,30.19,,3.97
42647,080209/0000,23.99,25.8,,6.68
42647,080210/0000,24.55,33.12,,11.26
42647,080211/0000,,26.38,,7.95
42647,080212/0000,16.74,18.44,,13.64
42647,080213/0000,17.03,24.58,,4.94
42647,080214/0000,13.62,22.61,,7.89
42647,080215/0000,20.71,27.3,,10.5
42647,080216/0000,13.68,16.51,,14.3
42647,080218/0000,15.56,17.96,,4.16
42647,080219/0000,10.53,11.27,,6.93
42647,080220/0000,,11.39,,0.38
42647,080221/0000,12.97,18.92,,12.55
42647,080222/0000,9.71,18.92,,8.76
42647,080225/0000,,20.98,,4.06
42647,080226/0000,12.34,13.47,,7.3
42647,080227/0000,14.37,17.09,,10.51
42647,080228/0000,,11.44,,4.12
42647,080229/0000,12.58,9.15,,10.96
42647,080101/0000,14.39,15.6,,20.6
42647,080102/0000,12.78,10.47,,8.78
42647,080103/0000,12.42,12.46,,12.39
42647,080104/0000,10.27,15.08,,11.1
42647,080105/0000,6.03,10.4,,22.4
42647,080106/0000,12.19,21.72,,17
42647,080107/0000,1.71,4.27,,25.37
42647,080108/0000,,2.23,,2
42647,080109/0000,3.59,0.81,,22.31
42647,080110/0000,3.21,7.92,,24.72
42647,080111/0000,8.21,8.57,,23.01
42647,080112/0000,10.82,16.77,,15.47
42647,080113/0000,15.35,15.97,,8.8
42647,080114/0000,13.42,19.55,,14.42
42647,080115/0000,8.14,10.3,,18.66
42647,080116/0000,10.78,12.57,,15.46
42647,080117/0000,10.26,11.41,,11.54
42647,080118/0000,-1.44,13.11,,18.43
42647,080119/0000,19.97,22.49,,6.47
42647,080120/0000,17.79,19.47,,8.25
42647,080121/0000,20,21.4,,5.01
42647,080122/0000,,16.34,,4.45
42647,080123/0000,,32.3,,4.58
42647,080124/0000,,17.01,,0.89
42647,080125/0000,16.3,20.08,,2.22
42647,080125/0300,19.35,22.46,,2.24
42647,080126/0000,12.28,18.74,,10.31
42647,080127/0000,17.97,14.93,,6.98
42647,080127/0300,18.16,16.42,,11.85
42647,080128/0000,8.71,17.06,,11.19
42647,080129/0000,8.42,26.89,,24.38
42647,080130/0000,17.34,12.36,,14.21
42647,080131/0000,22.28,23.25,,15.61
42647,071201/0000,2.78,12.04,,25.65
42647,071202/0000,,-6.41,,37.71
42647,071203/0000,5.78,6.12,,18.85
42647,071204/0000,4.2,0.08,,30.84
42647,071205/0000,5.83,5.48,,21.86
42647,071206/0000,2.94,3.98,,27.04
42647,071207/0000,2.38,6.6,,26.68
42647,071208/0000,5.76,6.66,,22.93
42647,071209/0000,16.51,9.08,,13.48
42647,071210/0000,7.37,6.98,,16.33
42647,071211/0000,1.3,3.91,,23.69
42647,071212/0000,0.55,4.77,,25.83
42647,071213/0000,14.12,8.51,,14.05
42647,071214/0000,9.96,12.15,,13.52
42647,071215/0000,4.7,11.49,,13.1
42647,071216/0000,5.59,11.35,,11.03
42647,071217/0000,4.25,11.31,,16.59
42647,071218/0000,3.56,7.21,,18.73
42647,071219/0000,9.02,10.02,,14.96
42647,071220/0000,15.75,6.37,,13.66
42647,071222/0000,14.27,8.85,,10.89
42647,071223/0000,12.23,7.69,,23.56
42647,071225/0000,12.01,2.78,,33.52
42647,071226/0000,13.09,12.17,,21.37
42647,071227/0000,12.74,9.13,,15.47
42647,071228/0000,17.03,10,,20.4
42647,071229/0000,11.69,11.58,,5.43
42647,071230/0000,9.36,17.19,,6.11
42647,071231/0000,,7.62,,9.88
42647,071101/0000,3.16,3.18,,30.54
42647,071102/0000,-0.5,10.03,,31.33
42647,071103/0000,-2.53,5.85,,45.83
42647,071104/0000,0.55,-4.25,,54.51
42647,071105/0000,0.11,-0.55,,40.17
42647,071106/0000,11.22,12.82,,32.54
42647,071107/0000,0.77,2.15,,26.68
42647,071108/0000,-1.56,-4.59,,25.69
42647,071109/0000,-3.84,-13.26,,25.36
42647,071110/0000,3.59,11.81,,21.32
42647,071111/0000,8.36,1.25,,17.55
42647,071112/0000,,0.24,,4.17
42647,071114/0000,,,,0
42647,071115/0000,7.77,7.92,,22.32
42647,071116/0000,,17.75,,20.35
42647,071117/0000,14.18,19.11,,6.23
42647,071118/0000,12.5,16.74,,6.78
42647,071119/0000,10.18,11.5,,9.33
42647,071120/0000,12.23,13.26,,8.2
42647,071121/0000,,9.31,,1.41
42647,071122/0000,12.15,19.03,,4.11
42647,071123/0000,,12.47,,8.59
42647,071124/0000,9.74,11.26,,14.79
42647,071125/0000,12.53,14.67,,6.21
42647,071126/0000,13.41,12.01,,22.21
42647,071127/0000,17.41,9.08,,17.17
42647,071128/0000,,21.19,,2.92
42647,071129/0000,5.68,9.81,,12
42647,071001/0000,3.89,1.86,,40.17
42647,071001/1200,-3.01,-3.83,234.6,50.9
42647,071002/0000,,0.03,,34.44
42647,071002/1200,12.68,3.28,28.36,19.92
42647,071003/0000,,7.1,,18.22
42647,071003/1200,15.95,11.28,38,45.06
42647,071004/0000,10.95,7.57,114.8,23.43
42647,071004/1200,15.04,5.26,33.99,23.68
42647,071005/0000,15.51,12.12,,16.21
42647,071005/1200,15.67,8.83,174.61,26.18
42647,071006/0000,16.8,40.74,,19.15
42647,071006/1200,8.54,3.83,119.01,31.42
42647,071007/0000,,10.06,,28.48
42647,071008/0000,5.04,4.4,191.19,45.99
42647,071008/1200,10.6,2.57,144.98,31.75
42647,071009/0000,7.68,9.51,168.18,50.02
42647,071009/1200,2.63,-0.66,,43.51
42647,071010/0000,4.37,2.88,,31.72
42647,071011/0000,3.53,0.17,,40.97
42647,071011/1200,8.36,5.12,,51.98
42647,071012/0000,4.17,-1.84,,39.93
42647,071012/1200,4.5,7.3,164.41,29.3
42647,071013/0000,5.42,0.79,,32.89
42647,071013/1200,1.16,0.87,208.2,44.11
42647,071014/0000,10.05,4.2,,22.87
42647,071015/0000,5.86,2.3,,22.06
42647,071015/1200,8.9,9.8,74.39,20.85
42647,071016/0000,,19.4,,20.82
42647,071017/0000,10.03,5.07,,20.57
42647,071019/0000,5.63,8.28,,13.32
42647,071020/0000,6.62,13.76,,19.13
42647,071021/0000,,11.38,,17.4
42647,071023/0000,6.99,12.35,,27.78
42647,071024/0000,,5.1,,15.99
42647,071025/0000,,6.04,,0.89
42647,071026/0000,12.43,8.31,,20.15
42647,071028/0000,14.9,13.99,,27.86
42647,071029/0000,11.22,7.53,,18.99
42647,071030/0000,13.34,10.73,,29.34
42647,071031/0000,5.96,9.02,,27.78
42647,070901/0000,-0.27,-2.35,230.8,67
42647,070903/0000,-2.07,-4.42,237.38,65.23
42647,070904/0000,1.66,-2.45,194.6,58.61
42647,070905/0000,-0.94,-3.41,226.18,59.29
42647,070907/0000,-0.2,-3,219.09,133.76
42647,070908/0000,0.63,-1.93,221.61,37.3
42647,070909/0000,3.37,2.45,183.19,26.11
42647,070912/0000,5.07,-0.86,143.93,29.24
42647,070913/0000,-7.11,-8.7,356.39,62.37
42647,070914/0000,-2.64,-3.96,267.81,56.65
42647,070915/0000,3.4,-0.65,200.23,42.17
42647,070917/0000,2.81,-0.33,,48.63
42647,070918/0000,,-5.56,,44.08
42647,070919/0000,3.49,-2.22,226.59,52.74
42647,070921/0000,,-5,,58.02
42647,070922/0000,-1.65,0.25,271,70.81
42647,070923/0000,-2.11,-2.62,,58.29
42647,070924/0000,-4.41,-5.21,,50.24
42647,070925/0000,,-6.1,,51.56
42647,070926/0000,-3.03,-0.94,,74.32
42647,070927/0000,-0.56,-3.18,,59.65
42647,070928/0000,-24.04,-0.05,,117.92
42647,070930/0000,3.58,0.18,,38.06
42647,070801/0000,-1.84,-3.7,272.8,74.88
42647,070802/0000,-4.87,-5.21,300.61,106
42647,070803/0000,-3.76,-4.84,270.41,91.37
42647,070804/0000,-4.07,-1.45,,64.61
42647,070805/0000,,-5.98,,82.79
42647,070807/0000,-4.32,-4.76,302.2,84.31
42647,070808/0000,,-0.39,,75.63
42647,070809/0000,5.57,-0.58,216.42,56.56
42647,070810/0000,2.5,0.67,257.6,57.63
42647,070811/0000,-0.14,-2.23,,60.19
42647,070812/0000,,-6.37,,54.34
42647,070813/0000,0.28,-0.47,,70.78
42647,070814/0000,0.63,-2.4,,65.21
42647,070815/0000,4.8,1.98,239.4,56.56
42647,070816/0000,2.08,-3.1,258,53.03
42647,070818/0000,3.4,-2.81,220.02,47.27
42647,070819/0000,-0.53,-1.17,267.6,48.91
42647,070820/0000,0.71,-0.95,207.59,38.41
42647,070821/0000,,32.44,,51.55
42647,070822/0000,-0.47,-1.19,222.49,70.1
42647,070823/0000,-3.16,-3.63,273.8,78.08
42647,070824/0000,2.07,-2.49,194.41,51.09
42647,070825/0000,4.52,-1.55,,44.44
42647,070826/0000,-0.69,-4.38,228.58,63.03
42647,070827/0000,-4.05,-7.4,248.81,70.54
42647,070828/0000,-1.76,-2.11,269.79,71.45
42647,070829/0000,-0.19,-3.89,231.38,72.89
42647,070830/0000,-2.87,-2.48,280.01,78.02
42647,070701/0000,-2.63,-4.43,330.01,71.83
42647,070702/0000,-0.58,-6.49,289.39,72.07
42647,070704/0000,4.35,5.06,308.4,67.48
42647,070705/0000,0.36,-2.29,272.02,69.15
42647,070706/0000,-3.92,-4.28,330.21,81.43
42647,070707/0000,-0.4,-5.93,250.42,41.86
42647,070708/0000,0.22,-2.73,273.2,62.45
42647,070709/0000,2.28,-2.61,,75.36
42647,070710/0000,5.15,1.39,,54.36
42647,070712/0000,3.4,-2.16,226.79,56.52
42647,070713/0000,2.47,-1.49,258.4,65.23
42647,070714/0000,-1.49,-3.17,271.81,76.14
42647,070717/0000,5.41,4.27,268.2,86.64
42647,070718/0000,4.85,0.03,219.38,49.59
42647,070719/0000,3.01,2.11,278.2,58.21
42647,070719/1200,3.91,-1.49,239.78,57.25
42647,070720/0000,3.46,1.22,263.22,55.26
42647,070720/1200,,20.45,,50.51
42647,070721/0000,-0.17,25.9,251.81,47.8
42647,070721/1200,-3.41,-7.07,,53.57
42647,070722/0000,-3.74,-3.71,,56.76
42647,070722/1200,0,-3.9,262.4,54.53
42647,070723/0000,3.3,-4.17,200.19,54.78
42647,070723/1200,-10.85,30.32,551.41,55.14
42647,070724/0000,-7.91,-5.64,412,68.58
42647,070725/0000,-1.3,-3.7,253.78,64.36
42647,070726/0000,1.57,-4,,57.95
42647,070727/0000,-2.77,-4.76,,65.09
42647,070728/0000,-2.68,-5.49,275.41,68.95
42647,070729/0000,9.21,2.93,141.81,44.1
42647,070730/0000,-3.69,-4.83,,74.87
42647,070601/0000,-6.58,-9.77,387.59,60.15
42647,070602/0000,-5.24,-16.81,337.61,56.14
42647,070603/0000,-12.02,-14.73,546.98,85.76
42647,070604/0000,0.77,-0.26,217.18,61.1
42647,070605/0000,-6.18,-7.15,486.59,67.12
42647,070606/0000,-2.95,-2.73,284.81,78.82
42647,070607/0000,-7.13,-7.57,329.38,73.78
42647,070608/0000,-4.02,-5.77,284.79,68.7
42647,070609/0000,-4.42,-6.07,288.82,51.92
42647,070610/0000,-1.11,-5.58,444.59,52.29
42647,070612/0000,-3.89,-5.51,,55.93
42647,070614/0000,-9.19,-5.12,482.2,91.06
42647,070615/0000,-5.35,-7.45,301.19,81.75
42647,070618/0000,,-9.83,,68.58
42647,070621/0000,-3.75,-3.65,,71.68
42647,070622/0000,-6.09,-2.91,343.41,73.82
42647,070623/0000,-0.06,-4.24,,64.23
42647,070624/0000,-1.37,0.69,340.8,72.05
42647,070625/0000,-2.57,-5.26,350.8,93.67
42647,070626/0000,5,-0.83,224.59,62.42
42647,070627/0000,0.27,0.63,311.6,84.68
42647,070628/0000,3.3,0.75,242.82,63.6
42647,070629/0000,0.37,-4.24,215.6,67.69
42647,070630/0000,-4.67,-4.35,285.78,69.59
42647,070502/0000,2.93,0.69,39.01,27.33
42647,070503/0000,-8.49,-6.72,505.39,61.47
42647,070505/0000,-8.09,-10.56,,55.51
42647,070506/0000,-7.7,-8.21,425.21,60.52
42647,070507/0000,-6.64,-8.82,386.98,52.63
42647,070508/0000,-6.13,10.62,363,37.32
42647,070509/0000,-1.04,,165.61,28.24
42647,070511/0000,0.73,-6.96,202.4,54.38
42647,070512/0000,3.66,-2.34,161.4,28.42
42647,070513/0000,-3.96,-3.37,265.79,52.39
42647,070514/0000,0.23,,177.62,31.56
42647,070515/0000,10.66,1,101.4,29.38
42647,070516/0000,,-1.81,,26.33
42647,070517/0000,-4.4,-7.06,286.18,76.32
42647,070518/0000,2.1,-7.03,104.69,36.84
42647,070519/0000,,-6.54,,54.37
42647,070521/0000,,-7.93,,58.72
42647,070523/0000,,-5.33,,35.76
42647,070524/0000,-3.34,-5.86,318.81,38.61
42647,070526/0000,,-6.08,,33.47
42647,070527/0000,,-4.08,,14.08
42647,070529/0000,-6.3,-8.77,387.79,57.83
42647,070530/0000,-1.74,-6.25,202.6,50.86
42647,070531/0000,-5.49,-8.22,364.02,54.9
42647,070414/0000,-5.1,-9.51,,43.84
42647,070415/0000,-4.31,-6.22,,42.66
42647,070416/0000,-9.8,-10.35,532.4,47.35
42647,070417/0000,-1.95,-3.88,267.79,32.17
42647,070418/0000,-4.53,-6.76,322.19,41.33
42647,070419/0000,-11.33,-13.09,598,61.15
42647,070421/0000,1.9,33.11,90.42,27.26
42647,070422/0000,-0.77,-12.1,46,19.26
42647,070423/0000,-1.38,-8.86,192.99,27.58
42647,070425/0000,,-5.04,,32.79
42647,070427/0000,2.24,-1.9,115.61,27.53
42647,070428/0000,-1.32,-0.92,170.79,36.88
42647,070430/0000,1.62,-8.35,70.2,44.43
42647,061201/0000,5.02,8.14,53.66,17.66
42647,061202/0000,13.77,10.81,,15.18
42647,061203/0000,10.1,10.31,,14.72
42647,061204/0000,2.75,4.35,,19.63
42647,061205/0000,5.31,8.98,,27.48
42647,061206/0000,-3.19,-0.79,,35.57
42647,061207/0000,8.17,10.36,141.58,23.89
42647,061208/0000,5.32,13.58,173.99,24.2
42647,061209/0000,6.89,8.65,138,18.68
42647,061210/0000,17.94,19.24,,11.53
42647,061212/0000,12.71,13.96,,13.25
42647,061213/0000,15.04,11.58,,17.24
42647,061214/0000,-1.02,8.63,204.8,27.77
42647,061215/0000,3.26,7.29,151.39,26.53
42647,061216/0000,9.79,10.57,42.81,23.89
42647,061217/0000,8.1,13.6,91.01,20.35
42647,061218/0000,7.38,12.33,53.21,23.08
42647,061219/0000,14.43,13.88,29,15.51
42647,061220/0000,12.23,10.37,46,18.14
42647,061221/0000,13.75,8.91,82.99,20.62
42647,061222/0000,8.71,11.51,,18.24
42647,061223/0000,7.76,9.65,157.62,22.59
42647,061224/0000,2.46,1.4,223.81,36
42647,061225/0000,5.12,10.21,211.4,29.13
42647,061226/0000,6.35,3.29,181.59,26.9
42647,061105/0000,-1.8,1.79,,24.7
42647,061106/0000,2.79,-4.65,,33.99
42647,061107/0000,-1.37,2.53,171.78,30.91
42647,061108/0000,-6.02,-4.18,375,35.87
42647,061109/0000,1.55,2.36,134.8,24.71
42647,061110/0000,4.25,0.67,111.79,24.37
42647,061111/0000,3.93,6.39,146.02,25.64
42647,061112/0000,1.77,4.14,119,24.13
42647,061113/0000,4.48,6.39,121.21,22.41
42647,061114/0000,12.97,9.32,,21.1
42647,061115/0000,6.4,2.6,,36.58
42647,061116/0000,3.51,4.45,176.02,26.04
42647,061117/0000,0.97,9.81,159.78,26.02
42647,061118/0000,5.52,12.99,146.21,18.18
42647,061119/0000,8.31,11.05,141.01,17.13
42647,061120/0000,5.89,7.65,111,23.1
42647,061121/0000,4.16,8.3,158,31.41
42647,061123/0000,0.09,0.65,193.2,28.89
42647,061125/0000,,10.59,,13.59
42647,061126/0000,15.38,13.02,49.98,11.97
42647,061127/0000,11.94,2.17,56.97,20.62
42647,061128/0000,12.98,9.93,41.92,19.72
42647,061129/0000,8.22,11.04,,21.47
42647,061130/0000,6.52,5.67,,29.59
42647,061001/0000,10.75,5.2,180.11,36.87
42647,061001/1200,-1.6,-3.62,240.41,60.64
42647,061002/0000,3.9,1.23,175.01,56.07
42647,061002/1200,,-0.28,,21.52
42647,061003/0000,0.47,-4.23,185.59,35.12
42647,061004/1200,60.22,-4.17,40.02,25.96
42647,061005/0000,9.41,-5.73,15.58,28.68
42647,061006/0000,,-5.17,,39.14
42647,061006/1200,10.59,-2.7,122.81,31.18
42647,061007/0000,10.06,-2.57,54.42,28.03
42647,061007/1200,17.86,3.31,34.01,27.7
42647,061008/0000,2.12,0.03,206.18,25.44
42647,061008/1200,6.4,-1.15,153.8,39.95
42647,061009/0000,4.18,-0.71,175.58,23.61
42647,061009/1200,2.51,-1.53,191.61,39.15
42647,061010/0000,2.06,-1.68,163.39,46.73
42647,061010/1200,3.38,-1.46,,52
42647,061011/0000,3.46,2.78,,32.61
42647,061011/1200,23.08,22.62,203.97,21.9
42647,061012/0000,2.74,-2.68,152.79,38.66
42647,061012/1200,17.07,2.45,64.81,33.75
42647,061013/0000,,3.19,,30.84
42647,061013/1200,13.31,14.05,16.01,25.75
42647,061014/0000,7.75,-0.04,62.58,25.58
42647,061014/1200,-9.98,-13.05,502.39,38.94
42647,061015/0000,1.17,-2.33,115.2,30
42647,061015/1200,-0.62,-0.48,172.58,32.27
42647,061016/0000,2.07,-3.44,82.58,24.47
42647,061017/0000,3.82,1.63,106.39,28.87
42647,061017/1200,5.82,0.81,89.21,34.92
42647,061018/0000,,14.41,,28.21
42647,061019/0000,0.54,-0.63,129.99,29.41
42647,061019/1200,-0.36,-2.46,168.42,34.47
42647,061020/0000,-0.59,1.79,169.38,32.17
42647,061020/1200,-0.6,-5.14,173.39,39.09
42647,061021/0000,-0.59,-5.59,144.79,30.09
42647,061021/1200,-0.76,-6.56,190,35.85
42647,061022/0000,0.37,-1.71,146.41,26.36
42647,061022/1200,,-2.29,,27.33
42647,061023/0000,-2.29,-10.2,215.78,40.88
42647,061023/1200,3.49,12.05,168.2,35.79
42647,061024/1200,1,-1.04,136.2,37.21
42647,061025/0000,3.9,2.85,68.2,23.7
42647,061025/1200,2.09,0.99,102.41,25.2
42647,061026/0000,0.04,4.46,118.98,20.48
42647,061026/1200,-2.22,-5.37,206.79,31.12
42647,061027/0000,-0.51,-0.84,134.41,29.3
42647,061027/1200,-1.56,-4.46,198.63,34.53
42647,061028/0000,-4.09,-1.45,339.19,30.58
42647,061028/1200,,-3.82,,27.12
42647,060901/0000,-4.77,-1.98,305.81,72.08
42647,060901/1200,-0.92,-1.28,263.6,63.74
42647,060902/0000,-0.6,-5.1,249.79,55.4
42647,060903/0000,-4.71,-8.31,305.8,73.78
42647,060903/1200,5.26,1.34,188.81,41.93
42647,060904/0000,2.19,-1.84,219.19,46.79
42647,060904/1200,9.76,1.21,133,36.73
42647,060905/1200,-4.69,-6.34,320.4,77.23
42647,060906/1200,-0.6,-4.63,,68.7
42647,060907/0000,-1,0.58,,56.45
42647,060907/1200,2.05,2.66,284.18,65.25
42647,060908/0000,11.01,-0.04,157.62,65.43
42647,060908/1200,2.34,-2.12,259.22,57.11
42647,060909/0000,3.07,-7.77,190.41,42.73
42647,060909/1200,0.9,-1.5,227.59,46.25
42647,060910/0000,0.94,-5.78,231.33,58.82
42647,060910/1200,0.21,-3.32,234.58,55.92
42647,060911/0000,-6.98,-7.1,351,57.59
42647,060911/1200,0.16,-0.62,251.22,54.8
42647,060912/0000,0.15,-1.49,236.39,45.84
42647,060912/1200,2.73,0.98,232.39,43.12
42647,060915/0000,-6.46,-7.18,320.39,63.11
42647,060915/1200,,,,0
42647,060916/0000,-4.24,-5.33,279.6,68.27
42647,060916/1200,-1.38,-3.93,290.01,79.64
42647,060917/0000,-2.72,-4.37,226.81,56.36
42647,060917/1200,-5.05,-7.02,,54.43
42647,060918/1200,9.77,-3.3,149.19,51.25
42647,060919/0000,1.11,-2.02,204.41,56.49
42647,060919/0300,,,,
42647,060919/1200,0.04,-3.41,221.38,64.95
42647,060920/0000,-2.18,-5.01,,62.83
42647,060920/1200,-0.92,-2.02,234.18,57.83
42647,060921/0000,7.02,-6.49,113.2,45.17
42647,060921/1200,0.32,-5.23,212.58,53.93
42647,060922/1200,-0.7,-4.13,245.99,63.86
42647,060923/0000,-2.45,-5.78,206.39,55.57
42647,060923/1200,-5.74,38.84,,68.68
42647,060924/1200,-0.7,-4.57,221.8,60.2
42647,060925/0000,1,-3.33,160.8,43.59
42647,060926/1200,3.03,-2.84,203.99,57.73
42647,060927/1200,0.1,-3.75,245.4,62.68
42647,060928/0000,-1.04,-5.2,208.2,96.03
42647,060928/1200,2.43,-1.75,177.59,41.86
42647,060929/0000,3.35,-2.13,207.99,55.47
42647,060929/1200,7.55,7.42,,77.14
42647,060930/0000,4.43,0.93,161.59,39.6
42647,060930/0300,0.24,-1.93,197.04,43.61
42647,060801/0000,,,,58.43
42647,060801/1200,2.22,-0.28,,70.8
42647,060802/0000,0.82,-3.93,,63.53
42647,060802/1200,,-5.37,,70.08
42647,060803/0000,1.02,-3.49,,59.34
42647,060803/1200,1.97,-1.23,,62.72
42647,060804/0000,-2.01,-0.58,,76.22
42647,060804/1200,-2.16,-5.71,,75.11
42647,060805/0000,-3.06,-4.75,,71.42
42647,060805/1200,-2.62,-4.8,,71.29
42647,060806/0000,-3.25,-4.04,,67.75
42647,060806/1200,-14.66,-10.09,,90.93
42647,060807/1200,-3.54,-4.98,,73.63
42647,060808/0000,-4.05,-5.39,,69.2
42647,060809/0000,-2.92,-3.07,,58.38
42647,060809/1200,-2.49,-4.17,,69.25
42647,060810/0000,-1.45,-2.81,,67.2
42647,060810/1200,-4.5,-3.13,,76.33
42647,060811/1200,1.76,0.31,,74.52
42647,060812/0000,,3,,54.9
42647,060812/1200,-3.88,-3.91,,80.59
42647,060813/0000,-0.49,-2.42,,64.02
42647,060814/0000,0.45,-2,,64.42
42647,060815/0000,-3.91,-4.39,,69.28
42647,060816/0000,-1.06,-2.22,,68.74
42647,060816/1200,0.65,-1.54,,77.5
42647,060817/0000,1.47,1.03,,51.95
42647,060818/0000,,-11.11,,71.41
42647,060819/0000,-0.96,-1.21,,79.77
42647,060819/1200,0.16,-2.16,,55.86
42647,060821/0000,6.66,4.55,,50.93
42647,060821/1200,1.01,-1.92,,62.25
42647,060822/1200,4.13,-0.43,,62.24
42647,060823/0000,2.76,-2.5,,53.38
42647,060823/1200,0.23,-0.1,,67.26
42647,060824/0000,5.23,-1.13,,49.91
42647,060824/1200,9.05,7,,53.75
42647,060825/0000,2.33,-3.21,,51.9
42647,060825/1200,2.31,-2.56,220.59,58.52
42647,060826/0000,1.5,-1.72,257.77,65.18
42647,060826/1200,2.19,0.41,,71.81
42647,060827/0000,3.75,-2.5,,51.16
42647,060827/1200,4.49,2.37,250.18,46.24
42647,060828/0000,6.51,4.32,292.8,31.05
42647,060828/1200,-0.44,-2.22,291.62,57.01
42647,060829/0000,2.09,-1.82,208.8,38.45
42647,060829/1200,3.53,-0.41,219.6,45.1
42647,060830/0000,1.57,-1.49,221.99,40.5
42647,060830/1200,10.3,0.34,180,36.52
42647,060831/0000,2.05,0.15,226.58,51.04
42647,060701/0000,-0.12,-2.44,239.21,67.3
42647,060701/1200,2.1,9.06,265.38,58.25
42647,060702/1200,-5.5,-6.63,307.59,62.74
42647,060710/1200,,-9.24,,57.29
42647,060711/0000,0.04,-5.45,297.2,57.32
42647,060711/1200,-2.66,7.46,311.21,44.67
42647,060712/0000,-5.02,-5.93,332.01,63.98
42647,060712/1200,-2.78,-4.98,302,55.96
42647,060713/0000,-1.75,-3.07,285.62,59.28
42647,060713/1200,14.49,0.36,44.99,36.67
42647,060714/0000,3.41,-0.05,226.61,25.51
42647,060714/1200,0.09,-1.01,441.87,63.93
42647,060715/0000,2.54,-1.81,267.2,47.36
42647,060715/1200,2.15,1.52,301.4,60.64
42647,060716/0000,6.5,2.12,,54.34
42647,060716/1200,3.72,1.55,239.4,50.96
42647,060717/0000,-1.65,-4.24,,77.33
42647,060717/1200,-2.05,-2.38,,86.8
42647,060718/0000,-3.42,-5.11,274.6,80.3
42647,060718/1200,2.36,3.12,,62.09
42647,060719/1200,-0.87,-5.59,,78.25
42647,060720/0000,2.94,-1.95,,64.73
42647,060720/1200,1.86,-2.82,235.6,65.24
42647,060721/0000,-2.59,-2.29,,76.29
42647,060721/1200,2.2,1.77,,68.85
42647,060722/0000,-2.2,-2.52,,78.87
42647,060722/1200,,-2.34,,55.57
42647,060723/0000,-3.2,-5.07,,65.43
42647,060723/1200,,-10.97,,51.67
42647,060724/0000,-0.41,-7.38,,59.06
42647,060724/1200,-4.71,-9.22,291.03,68.87
42647,060725/0000,-3.72,-4.65,,68.42
42647,060725/1200,0.08,-3.77,240.61,58.85
42647,060726/1200,-1.89,-4.95,,74.53
42647,060727/0000,-3.48,-5.45,,65.18
42647,060727/1200,-1.07,-3.22,,72.85
42647,060728/1200,,-2.69,,40.5
42647,060729/0000,-0.45,-3.46,,69.52
42647,060729/1200,-1.61,-2.42,,71.49
42647,060730/0000,,-4.47,,64.37
42647,060730/1200,-1.27,-5.39,,79.57
42647,060731/0000,-2.48,-5.44,,62.08
42647,060731/1200,8,1.21,,35.89
42647,060601/0000,11.3,-12.03,,73.86
42647,060601/1200,-1.7,-2.31,,78.6
42647,060602/0000,-1.51,-11.38,,88.88
42647,060602/1200,0.08,-2.93,,72.21
42647,060603/0000,-2.98,-7.88,,55.21
42647,060603/1200,3.82,28.42,,31.33
42647,060604/1200,-2.1,-4.65,277.2,48.67
42647,060605/0000,-1.69,-1.7,,55.03
42647,060606/0000,8.13,0.64,,38.08
42647,060606/1200,1.84,-2.5,311.15,37.78
42647,060607/0000,1.25,-7.89,,47.09
42647,060607/1200,-5.07,-7.25,325.39,50.02
42647,060608/0000,14.4,-7.85,,39.95
42647,060610/0000,2.47,-0.63,,48.55
42647,060612/1200,,-1.39,,43.81
42647,060613/0000,7.98,-3.51,,37.86
42647,060613/1200,0.27,-4.45,326.89,38.96
42647,060614/0000,3.68,-4.03,170.99,35.63
42647,060614/1200,1.65,31.84,254.82,37.31
42647,060615/0000,1,-4.72,,39.38
42647,060615/1200,5.28,-4.11,167.79,35.86
42647,060616/1200,7.24,-1.97,268.36,28.5
42647,060617/0000,7.35,-5.02,,29.69
42647,060618/0000,-2.41,-3.39,237.59,38.63
42647,060618/1200,-0.94,-2.9,239.81,44.98
42647,060619/0000,-6.17,-6.86,,61.53
42647,060619/1200,-4.59,-9.74,317.97,49.72
42647,060620/0000,-9.4,-15.37,482.18,44.86
42647,060620/1200,-5.96,-6.5,361.78,49.92
42647,060621/1200,-3.34,-5.29,245.8,49.3
42647,060624/1200,-4.52,-8.06,283.4,80.02
42647,060625/0000,-1.21,-3.55,,72.04
42647,060625/1200,-1.75,-3.91,269.61,74.56
42647,060626/0000,-3.22,-4.97,,80.85
42647,060626/1200,-4.36,-7.42,,74.63
42647,060627/0000,0.07,-3.21,,63.31
42647,060627/1200,1.13,-1.89,,81.5
42647,060628/0000,-2.2,-4.84,,65.9
